id,name,einwohner,18_and_older
1011203,Unter den Linden Süd,1126,973
2050602,Samariterviertel,22040,18632
1011303,Alexanderplatzviertel,9849,8737
2040503,Richard-Sorge-Viertel,11355,9674
1011202,Unter den Linden Nord,628,550
2040502,Friedenstraße,7706,6628
2050601,Hausburgviertel,9174,7934
3061441,Eldenaer Straße,2787,1892
2040501,Barnimkiez,5380,4631
1011302,Oranienburger Straße,12301,10301
11030618,Fennpfuhl West,16454,14403
11030619,Fennpfuhl Ost,11274,9497
11020411,Malchower Weg,9873,7800
3050920,Weißer See,7449,6138
3051017,Rennbahnstraße,4213,3593
3040818,Pankow Süd,35253,29387
3051021,Buschallee,6839,5888
3050919,Gustav-Adolf-Straße,5087,4346
11010310,Mühlengrund,5739,4918
11010205,Falkenberg West,7080,5633
1033101,Soldiner Straße,26420,21142
3030715,Heinersdorf,7830,6472
11010204,Falkenberg Ost,8999,7006
3040614,Pankow Zentrum,37052,29697
11010309,Zingster Straße West,9661,7780
11010308,Zingster Straße Ost,11653,9594
3030716,Märchenland,1108,970
11010103,Dorf Falkenberg,2115,1587
11010207,Wartenberg Nord,7487,5924
11010206,Wartenberg Süd,6138,5034
11010101,Dorf Malchow,634,542
3040513,Schönholz,3430,2781
11010102,Dorf Wartenberg,2655,2248
3020209,Niederschönhausen,15177,12263
3030711,Blankenburg,6895,5690
3020210,Herthaplatz,11453,9170
3020307,Buchholz,18308,14715
3030406,Alt-Karow,8199,6868
3020203,Blankenfelde,2053,1731
3010104,Lietzengraben,223,176
3030405,Karow Nord,11479,8911
3010102,Buch,12505,10203
3010101,Bucher Forst,4247,3440
7040405,Rathaus Tempelhof,11232,9381
9010301,Baumschulenstraße,15773,13847
8010510,Gewerbegebiet Köllnische Heide,466,386
8010509,Schulenburgpark,9226,6892
8010118,Silbersteinstraße,12044,10015
8010214,Glasower Straße,8570,7272
7040401,Neu-Tempelhof,17586,14648
8010115,Hasenheide,938,792
8010213,Körnerpark,12248,10353
8010508,Weiße Siedlung,5734,4287
8010404,Rixdorf,23143,19627
9010202,Köpenicker Landstraße,6944,6253
8010117,Schillerpromenade,15798,13690
9010201,Am Treptower Park Süd,4360,3557
8010407,Gewerbegebiet Ederstraße,794,703
8010212,Rollberg,7397,5909
8010405,Hertzbergplatz,8894,7656
8010211,Flughafenstraße,9824,8445
8010406,Treptower Straße Nord,7073,5675
8010116,Wissmannstraße,3614,3137
8010303,Donaustraße,8306,7095
9010102,Am Treptower Park Nord,68,49
8010301,Reuterkiez,27355,23516
2020205,Chamissokiez,14964,12839
9010101,Elsenstraße,12993,10653
8010302,Bouchéstraße,3852,3341
2050804,Stralauer Halbinsel,4681,3624
2020206,Graefekiez,18976,15893
2020204,Urbanstraße,12562,10730
2030401,Reichenberger Straße,15109,12947
2020202,Rathaus Yorckstraße,6062,5051
7010104,Dennewitzplatz,13654,11505
4051445,Eisenzahnstraße,6448,5558
7010103,Barbarossaplatz,10591,9087
4051446,Preußenpark,10951,9576
2020201,Gleisdreieck/Entwicklungsgebiet,1931,1538
4051447,Ludwigkirchplatz,5307,4665
4031032,Halensee,15705,13836
4051448,Schaperstraße,9416,8366
7010102,Nollendorfplatz,16541,14085
7010101,Wittenbergplatz/Viktoria-Luise-Platz,10002,8890
1011104,Körnerstraße,4550,3793
1011103,Lützowstraße,5121,4447
4030726,Droysenstraße,5700,4955
4030930,George-Grosz-Platz,5644,4958
4030931,Breitscheidplatz,3708,3235
4030929,Hindemithplatz,6065,5363
4030724,Lietzensee,6557,5823
1011105,Nördlicher Landwehrkanal,1559,1350
1011101,Stülerstraße,3389,3042
4030725,Amtsgerichtsplatz,12267,10684
4030827,Karl-August-Platz,12282,10769
4030828,Savignyplatz,9680,8662
4030623,Ernst-Reuter-Platz,5063,4392
1011102,Großer Tiergarten,194,184
4020313,Königin-Elisabeth-Straße,7234,6348
4030417,Schloßstraße,10925,9445
4030622,Richard-Wagner-Straße,10866,9481
4030621,Spreestadt,3340,2921
1022207,Hansaviertel,5669,5165
4030416,Klausenerplatz,10499,8793
4030620,Alt-Lietzow,8858,7795
6040810,Dahlem,7118,5892
7040403,Manteuffelstraße,24597,20862
6010101,Fichtenberg,6924,5931
7040402,Lindenhofsiedlung,2311,1988
7030303,Grazer Platz,12350,10292
6010209,Feuerbachstraße,9274,8035
6010210,Bismarckstraße,4850,4155
6010103,Markelstraße,6340,5419
7030301,Friedenau,24713,20868
7030302,Ceciliengärten,9440,8032
4041344,Rüdesheimer Platz,10747,9307
4041343,Binger Straße,3587,3133
4041241,Breite Straße,7071,6130
4041342,Schlangenbader Straße,4194,3708
4041240,Messelpark,1542,1316
7020204,Schöneberger Insel,12186,10432
4041239,Stadion Wilmersdorf,536,419
4041238,Kissinger Straße,6058,5091
4051655,Babelsberger Straße,7469,6393
4051656,Hildegardstraße,7689,6557
4051551,Brabanter Platz,4523,3900
4041137,Flinsberger Platz,8288,7220
7020202,Volkspark (Rudolf-Wilde-Park),10499,8926
7020203,Kaiser-Wilhelm-Platz,17994,15346
4051654,Wilhelmsaue,3110,2787
4051549,Rathaus Wilmersdorf,4742,3987
2020203,Viktoriapark,10900,9207
