id,name,kfz,pkw
2050602,Samariterviertel,5188,4110
1011303,Alexanderplatzviertel,4975,3010
2040503,Richard-Sorge-Viertel,2767,2371
1011202,Unter den Linden Nord,1482,1330
2040502,Friedenstraße,1999,1756
2050601,Hausburgviertel,1920,1538
3061441,Eldenaer Straße,816,703
2040501,Barnimkiez,1664,1552
1011302,Oranienburger Straße,3966,3416
11030618,Fennpfuhl West,4725,4262
11030619,Fennpfuhl Ost,3161,2875
11020411,Malchower Weg,4312,3696
3050920,Weißer See,2566,2244
3051017,Rennbahnstraße,3022,2249
3040818,Pankow Süd,10594,9112
3051021,Buschallee,2283,2027
3050919,Gustav-Adolf-Straße,2108,1779
11010310,Mühlengrund,1970,1822
11010205,Falkenberg West,2387,2066
1033101,Soldiner Straße,5370,4408
3030715,Heinersdorf,4869,3626
11010204,Falkenberg Ost,2751,2493
3040614,Pankow Zentrum,11496,10066
11010309,Zingster Straße West,2949,2665
11010308,Zingster Straße Ost,3789,3466
3030716,Märchenland,1123,789
11010103,Dorf Falkenberg,905,744
11010207,Wartenberg Nord,2205,1989
11010206,Wartenberg Süd,2037,1843
11010101,Dorf Malchow,424,265
3040513,Schönholz,1498,1284
11010102,Dorf Wartenberg,1856,1462
3020209,Niederschönhausen,6886,5827
3030711,Blankenburg,4401,3568
3020210,Herthaplatz,6248,4865
3020307,Buchholz,10475,8449
3030406,Alt-Karow,4877,4074
3020203,Blankenfelde,1489,1151
3010104,Lietzengraben,177,87
3030405,Karow Nord,4690,4173
3010102,Buch,4250,3834
3010101,Bucher Forst,2190,1662
7040405,Rathaus Tempelhof,6972,4975
9010301,Baumschulenstraße,4820,4219
8010510,Gewerbegebiet Köllnische Heide,2065,992
8010509,Schulenburgpark,2331,2114
8010118,Silbersteinstraße,2102,1762
8010214,Glasower Straße,2066,1643
7040401,Neu-Tempelhof,8467,6109
8010115,Hasenheide,292,222
8010213,Körnerpark,2405,1963
8010508,Weiße Siedlung,1638,1367
8010404,Rixdorf,4669,3818
9010202,Köpenicker Landstraße,2425,2036
8010117,Schillerpromenade,2848,2328
9010201,Am Treptower Park Süd,1601,1316
8010407,Gewerbegebiet Ederstraße,396,249
8010212,Rollberg,1497,1315
8010405,Hertzbergplatz,1845,1535
8010211,Flughafenstraße,1792,1482
8010406,Treptower Straße Nord,1544,1291
8010116,Wissmannstraße,695,585
8010303,Donaustraße,1632,1292
9010102,Am Treptower Park Nord,43,32
8010301,Reuterkiez,5426,4339
2020205,Chamissokiez,4082,3356
9010101,Elsenstraße,4073,3339
8010302,Bouchéstraße,1023,843
2050804,Stralauer Halbinsel,1509,1292
2020206,Graefekiez,4283,3436
2020204,Urbanstraße,3410,2766
2030401,Reichenberger Straße,3462,2734
2020202,Rathaus Yorckstraße,1673,1336
7010104,Dennewitzplatz,3140,2626
4051445,Eisenzahnstraße,3325,2954
7010103,Barbarossaplatz,3053,2595
4051446,Preußenpark,4221,3767
2020201,Gleisdreieck/Entwicklungsgebiet,549,488
4051447,Ludwigkirchplatz,1913,1708
4031032,Halensee,6697,5712
4051448,Schaperstraße,3473,3094
7010102,Nollendorfplatz,4356,3704
7010101,Wittenbergplatz/Viktoria-Luise-Platz,3515,3120
1011104,Körnerstraße,1434,1218
1011103,Lützowstraße,1744,1428
4030726,Droysenstraße,1914,1664
4030930,George-Grosz-Platz,3539,3190
4030931,Breitscheidplatz,3413,2921
4030929,Hindemithplatz,2281,2024
4030724,Lietzensee,2259,1990
1011105,Nördlicher Landwehrkanal,6496,6078
1011101,Stülerstraße,1706,1514
4030725,Amtsgerichtsplatz,3755,3249
4030827,Karl-August-Platz,3705,3186
4030828,Savignyplatz,3555,3118
4030623,Ernst-Reuter-Platz,2966,2611
1011102,Großer Tiergarten,313,183
4020313,Königin-Elisabeth-Straße,2710,2286
4030417,Schloßstraße,3396,2915
4030622,Richard-Wagner-Straße,3334,2805
4030621,Spreestadt,3861,3468
1022207,Hansaviertel,1452,1266
4030416,Klausenerplatz,3089,2576
4030620,Alt-Lietzow,2678,2305
6040810,Dahlem,4279,3859
7040403,Manteuffelstraße,10107,7392
6010101,Fichtenberg,3120,2695
7040402,Lindenhofsiedlung,4311,2504
7030303,Grazer Platz,4063,3385
6010209,Feuerbachstraße,3003,2633
6010210,Bismarckstraße,1647,1450
6010103,Markelstraße,2312,1915
7030301,Friedenau,8839,7456
7030302,Ceciliengärten,3212,2751
4041344,Rüdesheimer Platz,3634,3215
4041343,Binger Straße,1423,1222
4041241,Breite Straße,3023,2692
4041342,Schlangenbader Straße,1751,1561
4041240,Messelpark,1030,942
7020204,Schöneberger Insel,4678,3614
4041239,Stadion Wilmersdorf,421,250
4041238,Kissinger Straße,2964,2515
4051655,Babelsberger Straße,2673,2394
4051656,Hildegardstraße,2994,2615
4051551,Brabanter Platz,1464,1243
4041137,Flinsberger Platz,3668,3175
7020202,Volkspark (Rudolf-Wilde-Park),2952,2442
7020203,Kaiser-Wilhelm-Platz,4708,3864
4051654,Wilhelmsaue,1056,930
4051549,Rathaus Wilmersdorf,1902,1481
2020203,Viktoriapark,3116,2546
7020201,Bayerischer Platz,3544,3100
4051652,Nikolsburger Platz,3303,2841
4051550,Leon-Jessel-Platz,1978,1711
4051653,Prager Platz,2106,1886
7060604,Marienfelde Süd,6387,5433
7060603,Marienfelde Nordost,2283,1724
6020407,Thermometersiedlung,1440,1297
6020408,Lichterfelde Süd,3098,2682
6030607,Goerzwerke,2187,1467
6020411,Schütte-Lanz-Straße,4419,3811
7060602,Kirchstraße,2744,2313
6030608,Schweizer Viertel,7181,6281
7060601,Marienfelder Allee Nordwest,4015,3454
6020306,Lankwitz Süd,3627,3036
6020410,Oberhofer Platz,3634,3070
6020409,Königsberger Straße,4410,3749
6020305,Gemeindepark Lankwitz,4286,3667
7050502,Fritz-Werner-Straße,4742,3300
6020304,Kaiser-Wilhelm-Straße,3033,2507
6030606,Hindenburgdamm,1946,1704
6030610,Lichterfelde West,4264,3733
6020303,Lankwitz Kirche,2630,2261
6030609,Augustaplatz,5588,4843
6020302,Komponistenviertel Lankwitz,3043,2528
6020301,Alt-Lankwitz,2411,2079
7050501,Rathausstraße,9879,7501
6030605,Botanischer Garten,3216,2816
6040809,Thielallee,2489,2207
6010205,Südende,3711,3267
6010206,Stadtpark,2881,2487
7040404,Marienhöhe,2449,2001
6010207,Mittelstraße,3144,2609
6010204,Munsterdamm,2527,2211
6010208,Bergstraße,2784,2335
6010102,Schloßstraße,3190,2719
1022106,Elberfelder Straße,3184,2694
1022206,Lüneburger Straße,1109,908
4020205,Siedlung Ruhleben,785,691
1011301,Charitéviertel,3126,2666
4020310,Park Ruhwald,374,256
4030415,Schloßgarten,907,622
1022204,Thomasiusstraße,1933,1676
4030519,Kaiserin-Augusta-Allee,2721,1860
1022101,Huttenkiez,3373,2567
4030518,Tegeler Weg,2944,2455
1022205,Zillesiedlung,756,681
1022105,Zwinglistraße,1112,934
1022102,Beusselkiez,1244,1062
1022202,Heidestraße,1056,985
1022201,Stephankiez,2580,2091
1022203,Lübecker Straße,1465,1251
1022104,Emdener Straße,4449,3529
5030833,Motardstraße,1071,702
4010101,Jungfernheide,3347,2730
1022103,Westhafen,1368,604
4010103,Paul-Hertz-Siedlung,2198,1990
1033203,Humboldthain Nordwest,3281,2811
4010102,Plötzensee,1463,830
5030832,Rohrdamm,4391,3616
1044202,Sparrplatz,3059,2517
1044101,Rehberge,4992,4208
5030731,Gartenfelder Straße,3894,3370
1044103,Westliche Müllerstraße,1718,1405
1044201,Reinickendorfer Straße,4805,4057
1044203,Leopoldplatz,2830,2388
1044102,Schillerpark,4549,3923
12214125,Waldidyll/Flughafensee,5653,4399
12103117,Letteplatz,3265,2750
12214528,Tegeler Forst,79,69
12103219,Schäfersee,3440,2828
12214424,Scharnweberstraße,3873,3121
12103218,Teichstraße,6698,5069
12214422,Klixstraße,2787,2223
12103116,Hausotterplatz,3341,2677
12103115,Breitkopfbecken,2421,2060
12214421,Reinickes Hof,1553,1250
12103220,Humboldtstraße,1804,1539
12214423,Mellerbogen,2340,2002
12214126,Tegel Süd,2883,2413
12304313,Borsigwalde,4414,3121
12301203,Wittenau Süd,6194,5192
12214527,Alt-Tegel,5543,4740
3040512,Wilhelmsruh,4849,4144
12301204,Wittenau Nord,3549,2944
12304314,Ziekowstraße/Freie Scholle,4643,3913
12302110,Dannenwalder Weg,2786,2502
3040508,Rosenthal,2585,2096
12302107,Schorfheidestraße,1598,1362
12224230,Heiligensee,11271,9399
12302108,Märkisches Zentrum,4156,3790
12302211,Lübarser Straße,2998,2034
12302109,Treuenbrietzener Straße,3049,2652
12301205,Waidmannslust,4727,2967
12231101,Hermsdorf,9885,8468
12302212,Rollbergesiedlung,1791,1593
12301206,Lübars,3520,2805
12231102,Frohnau,10061,8792
5020521,Döberitzer Weg,1692,1461
5020420,Werkstraße,730,528
5020415,Isenburger Weg,2493,2024
5010205,An der Tränke,1307,1109
5020418,Spandauer Straße,1752,1491
5010101,Hakenfelde Nord,4625,3922
5020522,Pillnitzer Weg,2422,2205
5020419,Magistratsweg,2553,2285
5020416,Am Heideberg,989,834
5010209,An der Kappe,3087,2598
5010206,Gütersloher Weg,3973,3442
5010204,Griesingerstraße,1104,934
5020417,Staakener Straße,4239,3308
5020523,Maulbeerallee,3396,2992
5010207,Darbystraße,3471,3117
5010103,Amorbacher Weg,3824,3262
5020626,Adamstraße,6478,5465
5020628,Graetschelsteig,724,655
5020625,Borkumer Straße,3860,3164
5010314,Carl-Schurz-Straße,4377,3681
5010208,Germersheimer Platz,2545,2184
5010313,Ackerstraße,2195,1870
5010310,Eckschanze,1328,1093
5010102,Goltzstraße,2958,2615
5020627,Tiefwerder,1680,1414
5010311,Eiswerder,1881,1521
5010312,Kurstraße,1907,1604
5010339,Freiheit,1426,687
5030730,Zitadellenweg,2593,1974
12224229,Konradshöhe/Tegelort,3664,3165
4020204,Olympiagelände,175,144
6040701,Wannsee,5944,5166
5040938,Kafkastraße,2210,1916
5040936,Jägerallee,6368,5513
5040937,Kladower Damm,1372,1174
5040935,Groß-Glienicker Weg,278,217
5020524,Weinmeisterhornweg,3483,3000
6040703,Nikolassee,5152,4603
5040934,Alt-Gatow,2137,1811
6040702,Düppel,2774,2448
5020629,Börnicker Straße,2779,2436
4061757,Forst Grunewald,179,92
6040804,Krumme Lanke,4296,3882
4020208,Kranzallee,1490,1352
4020206,Angerburger Allee,1285,1128
6030501,Berlepschstraße,3183,2728
6040805,Fischerhüttenstraße,2791,2516
4020207,Flatowallee,1269,1111
6030503,Zehlendorf Mitte,5470,4644
6040806,Fischtal,3269,2873
6030502,Zehlendorf Süd,2663,2237
6030504,Teltower Damm,5575,4952
6040808,Hüttenweg,2092,1871
4020311,Reichsstraße,6557,5845
4020209,Eichkamp,1214,1068
6040807,Zehlendorf Eiche,2689,2386
4041135,Hundekehle,1764,1614
4041133,Güterbahnhof Grunewald,40,31
4020312,Branitzer Platz,2434,2130
4041136,Hagenplatz,1950,1771
4020314,Messegelände,73,39
4041134,Bismarckallee,2886,2603
