id,name,status
8020620,Tempelhofer Weg,
9010302,Späthsfelde,
7050504,Imbrosweg,
8040932,Goldhähnchenweg,
7050503,Eisenacher Straße,
8020619,Buschkrugallee Nord,
7040406,Germaniagarten,
2050803,Stralauer Kiez,
11040925,Victoriastadt,
2040703,Wriezener Bahnhof/Entwicklungsgebiet,
2050802,Boxhagener Platz,
2040702,Weberwiese,
2040701,Andreasviertel,
3061441,Eldenaer Straße,
11030618,Fennpfuhl West,
11030619,Fennpfuhl Ost,
11020411,Malchower Weg,
3050920,Weißer See,
3051017,Rennbahnstraße,
3040818,Pankow Süd,
3051021,Buschallee,
3050919,Gustav-Adolf-Straße,
11010310,Mühlengrund,
11010205,Falkenberg West,
1033101,Soldiner Straße,
3030715,Heinersdorf,
11010204,Falkenberg Ost,
3040614,Pankow Zentrum,
11010309,Zingster Straße West,
11010308,Zingster Straße Ost,
3030716,Märchenland,
11010103,Dorf Falkenberg,
11010207,Wartenberg Nord,
11010206,Wartenberg Süd,
11010101,Dorf Malchow,
3040513,Schönholz,
11010102,Dorf Wartenberg,
3020209,Niederschönhausen,
3030711,Blankenburg,
3020210,Herthaplatz,
3020307,Buchholz,
3030406,Alt-Karow,
3020203,Blankenfelde,
3010104,Lietzengraben,
3030405,Karow Nord,
3010102,Buch,
3010101,Bucher Forst,
7040405,Rathaus Tempelhof,
9010301,Baumschulenstraße,
8010510,Gewerbegebiet Köllnische Heide,
8010509,Schulenburgpark,
8010118,Silbersteinstraße,
8010214,Glasower Straße,
8010508,Weiße Siedlung,
9010202,Köpenicker Landstraße,
9010201,Am Treptower Park Süd,
9010102,Am Treptower Park Nord,
9010101,Elsenstraße,
4051446,Preußenpark,
4051447,Ludwigkirchplatz,
4031032,Halensee,
4051448,Schaperstraße,
7010101,Wittenbergplatz/Viktoria-Luise-Platz,
4030930,George-Grosz-Platz,
4030931,Breitscheidplatz,
4030929,Hindemithplatz,
4030828,Savignyplatz,
4030623,Ernst-Reuter-Platz,
4020313,Königin-Elisabeth-Straße,
