id,name,size
11010101,Dorf Malchow,6621
3040513,Schönholz,17104
11010102,Dorf Wartenberg,6436
3020209,Niederschönhausen,5906
3030711,Blankenburg,4367
3020210,Herthaplatz,5793
3020307,Buchholz,33794
3030406,Alt-Karow,3791
3020203,Blankenfelde,0
3010104,Lietzengraben,0
3030405,Karow Nord,24498
3010102,Buch,12291
3010101,Bucher Forst,9804
7040405,Rathaus Tempelhof,4389
9010301,Baumschulenstraße,11895
8010510,Gewerbegebiet Köllnische Heide,0
8010509,Schulenburgpark,10666
8010118,Silbersteinstraße,5102
8010214,Glasower Straße,3235
7040401,Neu-Tempelhof,24107
8010115,Hasenheide,20647
8010213,Körnerpark,9470
8010508,Weiße Siedlung,0
8010404,Rixdorf,20972
9010202,Köpenicker Landstraße,19384
8010117,Schillerpromenade,10930
9010201,Am Treptower Park Süd,2451
8010407,Gewerbegebiet Ederstraße,0
8010212,Rollberg,14277
8010405,Hertzbergplatz,18210
8010211,Flughafenstraße,4650
8010406,Treptower Straße Nord,13513
8010116,Wissmannstraße,2854
8010303,Donaustraße,3569
9010102,Am Treptower Park Nord,11539
8010301,Reuterkiez,16197
2020205,Chamissokiez,6478
9010101,Elsenstraße,8302
8010302,Bouchéstraße,2
2050804,Stralauer Halbinsel,7864
2020206,Graefekiez,9882
2020204,Urbanstraße,4821
2030401,Reichenberger Straße,22150
2020202,Rathaus Yorckstraße,1526
7010104,Dennewitzplatz,12734
4051445,Eisenzahnstraße,1794
7010103,Barbarossaplatz,13077
4051446,Preußenpark,4805
2020201,Gleisdreieck/Entwicklungsgebiet,2736
4051447,Ludwigkirchplatz,2985
4031032,Halensee,10792
4051448,Schaperstraße,4454
7010102,Nollendorfplatz,15103
7010101,Wittenbergplatz/Viktoria-Luise-Platz,1721
1011104,Körnerstraße,7799
1011103,Lützowstraße,6424
4030726,Droysenstraße,5823
4030930,George-Grosz-Platz,3277
4030931,Breitscheidplatz,0
4030929,Hindemithplatz,3653
4030724,Lietzensee,8638
1011105,Nördlicher Landwehrkanal,645
1011101,Stülerstraße,0
4030725,Amtsgerichtsplatz,3298
4030827,Karl-August-Platz,6012
4030828,Savignyplatz,4841
4030623,Ernst-Reuter-Platz,2403
1011102,Großer Tiergarten,12477
4020313,Königin-Elisabeth-Straße,2207
4030417,Schloßstraße,4514
4030622,Richard-Wagner-Straße,5224
4030621,Spreestadt,3006
1022207,Hansaviertel,1588
4030416,Klausenerplatz,5062
4030620,Alt-Lietzow,2097
6040810,Dahlem,2515
7040403,Manteuffelstraße,10289
6010101,Fichtenberg,3422
7040402,Lindenhofsiedlung,2593
7030303,Grazer Platz,14256
6010209,Feuerbachstraße,11135
6010210,Bismarckstraße,925
6010103,Markelstraße,5251
7030301,Friedenau,13769
7030302,Ceciliengärten,4385
4041344,Rüdesheimer Platz,6370
4041343,Binger Straße,4303
4041241,Breite Straße,1355
4041342,Schlangenbader Straße,3488
4041240,Messelpark,2479
7020204,Schöneberger Insel,18402
4041239,Stadion Wilmersdorf,0
4041238,Kissinger Straße,4340
4051655,Babelsberger Straße,9786
4051656,Hildegardstraße,0
4051551,Brabanter Platz,1123
4041137,Flinsberger Platz,5759
7020202,Volkspark (Rudolf-Wilde-Park),238
7020203,Kaiser-Wilhelm-Platz,28580
4051654,Wilhelmsaue,9315
4051549,Rathaus Wilmersdorf,5129
2020203,Viktoriapark,12457
7020201,Bayerischer Platz,8000
4051652,Nikolsburger Platz,8203
4051550,Leon-Jessel-Platz,5692
4051653,Prager Platz,3132
7060604,Marienfelde Süd,13537
7060603,Marienfelde Nordost,1643
6020407,Thermometersiedlung,0
6020408,Lichterfelde Süd,6163
6030607,Goerzwerke,3330
6020411,Schütte-Lanz-Straße,7957
7060602,Kirchstraße,5089
6030608,Schweizer Viertel,4025
7060601,Marienfelder Allee Nordwest,23248
6020306,Lankwitz Süd,5527
6020410,Oberhofer Platz,2348
6020409,Königsberger Straße,1649
6020305,Gemeindepark Lankwitz,9705
7050502,Fritz-Werner-Straße,2343
6020304,Kaiser-Wilhelm-Straße,1748
6030606,Hindenburgdamm,3140
6030610,Lichterfelde West,7157
6020303,Lankwitz Kirche,2913
6030609,Augustaplatz,2321
6020302,Komponistenviertel Lankwitz,4579
6020301,Alt-Lankwitz,3494
7050501,Rathausstraße,15776
6030605,Botanischer Garten,1719
6040809,Thielallee,7578
6010205,Südende,1682
6010206,Stadtpark,11411
7040404,Marienhöhe,17823
6010207,Mittelstraße,11911
6010204,Munsterdamm,6054
6010208,Bergstraße,2254
6010102,Schloßstraße,3134
1022106,Elberfelder Straße,5286
1022206,Lüneburger Straße,242
4020205,Siedlung Ruhleben,735
1011301,Charitéviertel,8782
4020310,Park Ruhwald,2432
4030415,Schloßgarten,539
1022204,Thomasiusstraße,14437
4030519,Kaiserin-Augusta-Allee,5252
1022101,Huttenkiez,9890
4030518,Tegeler Weg,3765
1022205,Zillesiedlung,0
1022105,Zwinglistraße,10125
1022102,Beusselkiez,7166
1022202,Heidestraße,6761
1022201,Stephankiez,8934
1022203,Lübecker Straße,1121
1022104,Emdener Straße,18214
5030833,Motardstraße,0
4010101,Jungfernheide,4348
1022103,Westhafen,1658
4010103,Paul-Hertz-Siedlung,2090
1033203,Humboldthain Nordwest,15809
4010102,Plötzensee,0
5030832,Rohrdamm,3979
1044202,Sparrplatz,14557
1044101,Rehberge,14276
5030731,Gartenfelder Straße,2454
1044103,Westliche Müllerstraße,4098
1044201,Reinickendorfer Straße,9276
1044203,Leopoldplatz,17437
1044102,Schillerpark,5689
12214125,Waldidyll/Flughafensee,2701
12103117,Letteplatz,10617
12214528,Tegeler Forst,0
12103219,Schäfersee,9393
12214424,Scharnweberstraße,750
12103218,Teichstraße,14577
12214422,Klixstraße,2777
12103116,Hausotterplatz,10279
12103115,Breitkopfbecken,7789
12214421,Reinickes Hof,5011
12103220,Humboldtstraße,5737
12214423,Mellerbogen,8722
12214126,Tegel Süd,3185
12304313,Borsigwalde,9923
12301203,Wittenau Süd,3674
12214527,Alt-Tegel,16331
3040512,Wilhelmsruh,5503
12301204,Wittenau Nord,1976
12304314,Ziekowstraße/Freie Scholle,8578
12302110,Dannenwalder Weg,0
3040508,Rosenthal,2794
12302107,Schorfheidestraße,2358
12224230,Heiligensee,10139
12302108,Märkisches Zentrum,24091
12302211,Lübarser Straße,6321
12302109,Treuenbrietzener Straße,5
12301205,Waidmannslust,7835
12231101,Hermsdorf,3739
12302212,Rollbergesiedlung,2641
12301206,Lübars,9242
12231102,Frohnau,4328
5020521,Döberitzer Weg,3244
5020420,Werkstraße,1185
5020415,Isenburger Weg,2182
5010205,An der Tränke,2042
5020418,Spandauer Straße,4167
5010101,Hakenfelde Nord,11492
5020522,Pillnitzer Weg,10836
5020419,Magistratsweg,4114
5020416,Am Heideberg,1166
5010209,An der Kappe,5005
5010206,Gütersloher Weg,26367
5010204,Griesingerstraße,0
5020417,Staakener Straße,0
5020523,Maulbeerallee,2773
5010207,Darbystraße,3567
5010103,Amorbacher Weg,1154
5020626,Adamstraße,11387
5020628,Graetschelsteig,1834
5020625,Borkumer Straße,5587
5010314,Carl-Schurz-Straße,9079
5010208,Germersheimer Platz,2027
5010313,Ackerstraße,9130
5010310,Eckschanze,5240
5010102,Goltzstraße,1396
5020627,Tiefwerder,782
5010311,Eiswerder,4862
5010312,Kurstraße,6240
5010339,Freiheit,0
5030730,Zitadellenweg,4773
12224229,Konradshöhe/Tegelort,2621
4020204,Olympiagelände,0
6040701,Wannsee,3797
5040938,Kafkastraße,0
5040936,Jägerallee,3080
5040937,Kladower Damm,2926
5040935,Groß-Glienicker Weg,0
5020524,Weinmeisterhornweg,2387
6040703,Nikolassee,6103
5040934,Alt-Gatow,3281
6040702,Düppel,10090
5020629,Börnicker Straße,4585
4061757,Forst Grunewald,0
6040804,Krumme Lanke,5238
4020208,Kranzallee,5432
4020206,Angerburger Allee,0
6030501,Berlepschstraße,5348
6040805,Fischerhüttenstraße,5019
4020207,Flatowallee,1174
6030503,Zehlendorf Mitte,16861
6040806,Fischtal,6940
6030502,Zehlendorf Süd,10236
6030504,Teltower Damm,27620
6040808,Hüttenweg,2418
4020311,Reichsstraße,6159
4020209,Eichkamp,2188
6040807,Zehlendorf Eiche,0
4041135,Hundekehle,1165
4041133,Güterbahnhof Grunewald,0
4020312,Branitzer Platz,1258
4041136,Hagenplatz,1294
4020314,Messegelände,0
4041134,Bismarckallee,5939
