id,name,size
11010206,Wartenberg Süd,99175
11010101,Dorf Malchow,74235
3040513,Schönholz,184683
11010102,Dorf Wartenberg,187723
3020209,Niederschönhausen,429472
3030711,Blankenburg,534224
3020210,Herthaplatz,273210
3020307,Buchholz,765698
3030406,Alt-Karow,556706
3020203,Blankenfelde,336384
3010104,Lietzengraben,331988
3030405,Karow Nord,287894
3010102,Buch,385422
3010101,Bucher Forst,503596
7040405,Rathaus Tempelhof,481111
9010301,Baumschulenstraße,355396
8010510,Gewerbegebiet Köllnische Heide,301020
8010509,Schulenburgpark,141761
8010118,Silbersteinstraße,113606
8010214,Glasower Straße,123580
7040401,Neu-Tempelhof,520022
8010115,Hasenheide,31632
8010213,Körnerpark,125943
8010508,Weiße Siedlung,120081
8010404,Rixdorf,273263
9010202,Köpenicker Landstraße,247063
8010117,Schillerpromenade,171673
9010201,Am Treptower Park Süd,141935
8010407,Gewerbegebiet Ederstraße,29295
8010212,Rollberg,96628
8010405,Hertzbergplatz,90765
8010211,Flughafenstraße,98218
8010406,Treptower Straße Nord,66977
8010116,Wissmannstraße,17349
8010303,Donaustraße,80959
9010102,Am Treptower Park Nord,67005
8010301,Reuterkiez,301048
2020205,Chamissokiez,170955
9010101,Elsenstraße,261919
8010302,Bouchéstraße,44010
2050804,Stralauer Halbinsel,65784
2020206,Graefekiez,272403
2020204,Urbanstraße,286520
2030401,Reichenberger Straße,192856
2020202,Rathaus Yorckstraße,103469
7010104,Dennewitzplatz,234854
4051445,Eisenzahnstraße,208705
7010103,Barbarossaplatz,109443
4051446,Preußenpark,222349
2020201,Gleisdreieck/Entwicklungsgebiet,40220
4051447,Ludwigkirchplatz,76759
4031032,Halensee,289068
4051448,Schaperstraße,234933
7010102,Nollendorfplatz,302502
7010101,Wittenbergplatz/Viktoria-Luise-Platz,208919
1011104,Körnerstraße,99888
1011103,Lützowstraße,120443
4030726,Droysenstraße,120365
4030930,George-Grosz-Platz,155678
4030931,Breitscheidplatz,252347
4030929,Hindemithplatz,102076
4030724,Lietzensee,102856
1011105,Nördlicher Landwehrkanal,240065
1011101,Stülerstraße,136600
4030725,Amtsgerichtsplatz,196672
4030827,Karl-August-Platz,160648
4030828,Savignyplatz,143836
4030623,Ernst-Reuter-Platz,270319
1011102,Großer Tiergarten,276672
4020313,Königin-Elisabeth-Straße,247708
4030417,Schloßstraße,225294
4030622,Richard-Wagner-Straße,154707
4030621,Spreestadt,143332
1022207,Hansaviertel,118671
4030416,Klausenerplatz,95775
4030620,Alt-Lietzow,168240
6040810,Dahlem,609651
7040403,Manteuffelstraße,474953
6010101,Fichtenberg,195530
7040402,Lindenhofsiedlung,153044
7030303,Grazer Platz,595778
6010209,Feuerbachstraße,207206
6010210,Bismarckstraße,73264
6010103,Markelstraße,128594
7030301,Friedenau,414401
7030302,Ceciliengärten,118374
4041344,Rüdesheimer Platz,184692
4041343,Binger Straße,91633
4041241,Breite Straße,159892
4041342,Schlangenbader Straße,119735
4041240,Messelpark,109949
7020204,Schöneberger Insel,187992
4041239,Stadion Wilmersdorf,115184
4041238,Kissinger Straße,132436
4051655,Babelsberger Straße,222006
4051656,Hildegardstraße,96986
4051551,Brabanter Platz,192213
4041137,Flinsberger Platz,245042
7020202,Volkspark (Rudolf-Wilde-Park),248303
7020203,Kaiser-Wilhelm-Platz,241203
4051654,Wilhelmsaue,72992
4051549,Rathaus Wilmersdorf,152729
2020203,Viktoriapark,213617
7020201,Bayerischer Platz,197286
4051652,Nikolsburger Platz,122234
4051550,Leon-Jessel-Platz,73246
4051653,Prager Platz,134732
7060604,Marienfelde Süd,362399
7060603,Marienfelde Nordost,154802
6020407,Thermometersiedlung,40950
6020408,Lichterfelde Süd,152404
6030607,Goerzwerke,129093
6020411,Schütte-Lanz-Straße,235261
7060602,Kirchstraße,167450
6030608,Schweizer Viertel,379091
7060601,Marienfelder Allee Nordwest,157403
