Schlüssel,Name,Flächengröße in m²,Bezirk,PP Durchschnitt,PP Durchschnitt min Konfidenz,PP Durchschnitt max Konfidenz,PP Straßenraum Durchschnitt,PP Straßenraum min Konfidenz,PP Straßenraum max Konfidenz,PP nicht Straßenraum Durchschnitt,PP nicht Straßenraum min Konfidenz,PP nicht Straßenraum max Konfidenz,PP in m²,PP Fläche in %,PP Fläche pro Einwohner in m²,PP mit Beschränkungen,Einwohner,Einwohner Erwachsen,Kfz,Pkw,PP pro Kfz,PP Fläche pro Kfz in m²,Grünanlagenflächen in m²,Grünanlagenflächen in %,Grünanlagenflächen pro Einwohner in m²,Spielplatzflächen in m²,Spielplatzflächen in %,Straßenverkehrsfläche in m²,Straßenverkehrsfläche in %,Anteil der PP Fläche im Straßenraum an Straßenverkehrsfläche in %
2050803,Stralauer Kiez,1353098,Friedrichshain-Kreuzberg,2423,2423,2423,1817,1817,1817,606,606,606,30287.5,2.2,3.9071,646,7752,6739,4904,3621,0.5,6.2,16318,1.2,2.1,3559,0.3,186547,13.8,12.2
1011101,Stülerstraße,366341,Mitte,1060,989,1131,960,889,1031,100,100,100,13250,3.6,3.9097,851,3389,3042,1706,1514,0.6,7.8,66,0.0,0.0,0,0.0,136600,37.3,8.8
4030518,Tegeler Weg,518009,Charlottenburg-Wilmersdorf,2064,2012,2116,2064,2012,2116,0,0,0,25800,5.0,2.6841,9,9612,8537,2944,2455,0.7,8.8,15366,3.0,1.6,3765,0.7,163728,31.6,15.8
3071536,Teutoburger Platz,548104,Pankow,1490,1453,1526,1490,1453,1526,0,0,0,18625,3.4,1.6548,107,11255,9206,2737,2256,0.5,6.8,5562,1.0,0.5,11319,2.1,146231,26.7,12.7
3071633,Thälmannpark,437585,Pankow,1229,1229,1229,1089,1089,1089,140,140,140,15362.5,3.5,4.8972,82,3137,2636,872,785,1.4,17.6,132722,30.3,42.3,9035,2.1,110652,25.3,12.3
1022204,Thomasiusstraße,553065,Mitte,1529,1473,1585,1379,1323,1435,150,150,150,19112.5,3.5,3.1998,67,5973,5152,1933,1676,0.8,9.9,54438,9.8,9.1,14437,2.6,95942,17.3,18.0
2050801,Traveplatz,782488,Friedrichshain-Kreuzberg,3070,3054,3086,3070,3054,3086,0,0,0,38375,4.9,1.8566,38,20669,17625,4082,3301,0.8,9.4,15009,1.9,0.7,8626,1.1,203457,26.0,18.9
8010406,Treptower Straße Nord,430415,Neukölln,1122,1122,1122,1122,1122,1122,0,0,0,14025,3.3,1.9829,33,7073,5675,1544,1291,0.7,9.1,513,0.1,0.1,13513,3.1,66977,15.6,20.9
1011202,Unter den Linden Nord,743796,Mitte,1575,1574,1576,1075,1074,1076,500,500,500,19687.5,2.6,31.3495,679,628,550,1482,1330,1.1,13.3,38305,5.1,61.0,0,0.0,250321,33.7,5.4
1011203,Unter den Linden Süd,547253,Mitte,1401,1401,1401,1231,1231,1231,170,170,170,17512.5,3.2,15.5528,804,1126,973,1508,1329,0.9,11.6,4794,0.9,4.3,0,0.0,189636,34.7,8.1
2020204,Urbanstraße,921286,Friedrichshain-Kreuzberg,2724,2471,2976,2724,2471,2976,0,0,0,34050,3.7,2.7106,327,12562,10730,3410,2766,0.8,10.0,44939,4.9,3.6,4821,0.5,286520,31.1,11.9
2020203,Viktoriapark,742091,Friedrichshain-Kreuzberg,1956,1799,2113,1956,1799,2113,0,0,0,24450,3.3,2.2431,237,10900,9207,3116,2546,0.6,7.8,124408,16.8,11.4,12457,1.7,213617,28.8,11.4
7020202,Volkspark (Rudolf-Wilde-Park),624043,Tempelhof-Schöneberg,2276,2218,2334,2256,2198,2314,20,20,20,28450,4.6,2.7098,302,10499,8926,2952,2442,0.8,9.6,62768,10.1,6.0,238,0.0,248303,39.8,11.4
2010104,Wassertorplatz,388374,Friedrichshain-Kreuzberg,972,948,995,972,948,995,0,0,0,12150,3.1,2.3988,97,5065,4086,1113,908,0.9,10.9,64811,16.7,12.8,3287,0.8,112746,29.0,10.8
2040702,Weberwiese,540772,Friedrichshain-Kreuzberg,1774,1769,1779,1774,1769,1779,0,0,0,22175,4.1,1.9799,72,11200,9787,2965,2494,0.6,7.5,20562,3.8,1.8,13832,2.6,113416,21.0,19.6
1022103,Westhafen,1702764,Mitte,940,917,963,408,385,431,532,532,532,11750,0.7,43.6803,591,269,175,1368,604,0.7,8.6,25218,1.5,93.7,1658,0.1,120701,7.1,4.2
4051654,Wilhelmsaue,294063,Charlottenburg-Wilmersdorf,745,730,759,745,730,759,0,0,0,9312.5,3.2,2.9944,6,3110,2787,1056,930,0.7,8.8,57771,19.6,18.6,9315,3.2,72992,24.8,12.8
1011201,Wilhelmstraße,633559,Mitte,1981,1971,1990,981,971,990,1000,1000,1000,24762.5,3.9,10.3436,887,2394,2095,1469,1337,1.3,16.9,9,0.0,0.0,0,0.0,191740,30.3,6.4
3071638,Winsstraße,647666,Pankow,2635,2569,2700,2291,2225,2356,344,344,344,32937.5,5.1,1.8661,219,17650,14415,4102,3433,0.6,8.0,22029,3.4,1.2,16534,2.6,119598,18.5,23.9
8010116,Wissmannstraße,165006,Neukölln,372,345,398,372,345,398,0,0,0,4650,2.8,1.2867,47,3614,3137,695,585,0.5,6.7,15240,9.2,4.2,2854,1.7,17349,10.5,26.8
7010101,Wittenbergplatz/Viktoria-Luise-Platz,619947,Tempelhof-Schöneberg,16500809280500000,1650080920,1811080920,1650080928050000,165008092,181108092,0,0,0,206260116006250000,33270604746252.5,20621887223180.3633,120,10002,8890,3515,3120,4694398088335.7,58679976104196.3,6608,1.1,0.7,1721,0.3,208919,33.7,9872731345940.3
2030402,Wrangelkiez,525928,Friedrichshain-Kreuzberg,1513,1471,1554,1513,1471,1554,0,0,0,18912.5,3.6,1.7226,55,10979,9433,2375,1838,0.6,8.0,10529,2.0,1.0,16441,3.1,121648,23.1,15.5
2040703,Wriezener Bahnhof/Entwicklungsgebiet,886936,Friedrichshain-Kreuzberg,1041,1036,1046,1041,1036,1046,0,0,0,13012.5,1.5,11.6914,234,1113,904,14272,810,0.1,0.9,63155,7.1,56.7,929,0.1,169402,19.1,7.7
1022205,Zillesiedlung,174136,Mitte,487,487,487,487,487,487,0,0,0,6087.5,3.5,1.8526,137,3286,2558,756,681,0.6,8.1,3235,1.9,1.0,0,0.0,26663,15.3,22.8
1022105,Zwinglistraße,166344,Mitte,346,346,346,309,309,309,37,37,37,4325,2.6,0.8303,44,5209,4411,1112,934,0.3,3.9,10762,6.5,2.1,10125,6.1,22897,13.8,16.9
